story_id,Truth Value,Premises used,Derivation,Derivation - Corrected,Derivation index,Inference rule
0,T,,,,,
,,"1, 5",Tom is one of the six types of wild Turkeys.,,D1,universal instantiation
,,"D1, 2",Tom is one of the six types of wild turkeys except for Eastern.,,D2,disjunctive syllogism
,,"D2, 3",Tom is one of the six types of wild turkeys except for Eastern and Osceola.,,D3,disjunctive syllogism
,,"D3, 4","Tom is one of the six types of wild turkeys except for Eastern, Osceola and Gould's.",,D4,disjunctive syllogism
,,"D4, 5",Tom is an Ocellated Wild Turkey.,,D5,disjunctive syllogism
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0,F,,,,,
,,2,,,D1,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,T,,,,,
,,"1, 2",Mary has influenza.,,D1,universal instantiation
,,D1,Either Mary or Susan has influenza.,,D2,disjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2,F,,,,,
,,2,The state of Montana includes Butte.,,D1,conjunction elimination
,,"D1, 6",Butte is not in any state that is not Montana.,,D2,universal instantiation
,,"D2, 4",Butte and Pierre are not in the same state.,,D3,NA
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2,T,,,,,
,,2,Montana includes the city of Missoula.,,D1,conjunction elimination
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3,T,,,,,
,,"2, 3",Pierre de Rigaud de Vaudreuil built Fort Carillon and Fort Carillon was in New France.,,D1,conjunction introduction
,,D1,Pierre de Rigaud de Vaudreuil built a fort in New France.,,D2,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
