story_id,factuality,bias,NL_grammar_mechanics_check,FOL,proof_correctness,Corrected Premises - NL,Premises - NL,Conclusions - NL,Corrected Conclusions - NL,Truth Value,"Premises 
used",Derivation,Derivation - Corrected,"Derivation 
index",Inference rule,Premises - FOL - corrected - optimized,Premises - FOL - corrected,Premises - FOL,Corrected Conclusions - FOL  - optimized,Corrected Conclusion - FOL ,Conclusion - FOL,comment on FOL,comment on Bias
0,,,CHECKED,,CHECKED,,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.",Tom is an Ocellated wild turkey.,,T,,,,,,,"∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))
¬(EasternWildTurkey(tom))
¬(OsceolaWildTurkey(tom))
¬(GouldsWildTurkey(tom))
¬((MerriamsWildTurkey(tom)) ∨ ((RiograndeWildTurkey(tom)))
WildTurkey(tom)","∀x ((WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ Gould'sWildTurkey(x)) ∨ (Merriam'sWildTurkey(x)) ∨ (RiograndeWildTurkey(x))))
¬(Eastern(tom) ∧ Wild(tom)  ∧ Turkey(tom))
¬(Osceola(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Gould's(tom) ∧ Wild(x)  ∧ Turkey(x))
¬(Wild(x)  ∧ Turkey(x) ∧ Merriam's(tom))∧ (¬(Wild(x)  ∧ Turkey(x) ∧ Riogrande(tom)))
WildTurkey(x)",,OcellatedWildTurkey(tom),Ocellated(tom) ∧ Wild(tom)  ∧ Turkey(tom),,
,,,,,,,,,,,"1, 5",Tom is one of the six types of wild Turkeys.,,D1,universal instantiation,,,WildTurkey(x),,,,,
,,,,,,,,,,,"D1, 2",Tom is one of the six types of wild turkeys except for Eastern.,,D2,disjunctive syllogism,,,EasternWildTurkey(x),,,,,
,,,,,,,,,,,"D2, 3",Tom is one of the six types of wild turkeys except for Eastern and Osceola.,,D3,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"D3, 4","Tom is one of the six types of wild turkeys except for Eastern, Osceola and Gould's.",,D4,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"D4, 5",Tom is an Ocellated Wild Turkey.,,D5,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
